property_type,price: ,sleeping_rooms,area
house,380030,2,207m2
appartment,899968,2,246m2
house,39647,5,178m2
appartment,162807,3,205m2
appartment,166191,4,156m2
appartment,708699,3,229m2
appartment,443155,4,168m2
appartment,611654,4,192m2
appartment,388475,3,196m2
appartment,640365,2,232m2
appartment,987732,2,159m2
house,995740,2,183m2
appartment,100351,3,164m2
appartment,749004,3,132m2
appartment,404768,3,221m2
house,4843,4,233m2
appartment,421654,3,250m2
appartment,353882,2,199m2
appartment,806690,3,203m2
appartment,354597,5,163m2
appartment,40184,5,165m2
appartment,290837,2,133m2
house,245273,3,131m2
house,722880,2,152m2
house,495222,4,144m2
appartment,320740,5,183m2
house,239479,5,217m2
house,274006,3,188m2
house,884464,4,250m2
appartment,488719,3,137m2
appartment,395995,4,137m2
appartment,738489,4,225m2
appartment,418110,5,235m2
appartment,629829,5,222m2
appartment,789647,5,133m2
house,513139,4,209m2
appartment,795101,2,215m2
house,152544,5,216m2
appartment,666508,2,167m2
appartment,39349,3,210m2
house,410397,2,243m2
appartment,94877,3,178m2
house,437400,3,149m2
appartment,92123,3,136m2
appartment,409104,4,217m2
house,9343,2,203m2
appartment,872414,3,149m2
house,933684,4,187m2
house,687596,2,204m2
house,593291,2,174m2
appartment,402086,2,182m2
appartment,112250,3,139m2
appartment,539845,2,181m2
appartment,494895,2,245m2
appartment,602508,2,149m2
appartment,509149,5,180m2
house,346480,5,221m2
house,610376,2,157m2
appartment,846315,2,206m2
appartment,739567,2,164m2
appartment,698496,4,150m2
appartment,908996,2,153m2
appartment,22729,5,147m2
appartment,115001,5,161m2
appartment,270965,3,143m2
house,502862,3,176m2
appartment,372629,2,175m2
appartment,64131,5,147m2
house,690065,2,133m2
appartment,719425,2,218m2
appartment,598270,3,149m2
appartment,367478,3,152m2
appartment,340079,5,140m2
appartment,328074,3,174m2
house,995124,5,221m2
appartment,929049,4,141m2
appartment,283246,2,192m2
appartment,499556,5,154m2
house,263713,2,217m2
house,268925,3,181m2
house,339279,3,134m2
appartment,767867,4,209m2
house,66525,2,155m2
house,293326,3,190m2
appartment,928059,2,171m2
appartment,850743,5,193m2
appartment,702717,3,146m2
house,116109,3,174m2
appartment,232235,5,168m2
appartment,133634,2,224m2
appartment,41915,3,241m2
appartment,731537,3,172m2
appartment,302119,3,242m2
house,561308,5,198m2
house,123058,3,230m2
house,122277,4,236m2
appartment,37261,3,246m2
house,830843,4,231m2
appartment,543988,3,174m2
house,881893,4,236m2
house,76159,5,199m2
appartment,208714,5,215m2
appartment,784660,2,178m2
house,148228,2,141m2
appartment,481672,5,247m2
house,436679,5,211m2
appartment,14803,2,183m2
appartment,669055,4,139m2
appartment,834597,3,236m2
appartment,232421,4,143m2
house,624957,3,152m2
appartment,357762,2,229m2
house,745084,3,218m2
house,558225,5,159m2
appartment,863091,3,145m2
house,898608,5,164m2
appartment,803654,3,239m2
house,688222,5,195m2
appartment,363299,3,184m2
appartment,345596,4,171m2
appartment,892693,4,211m2
appartment,596330,2,137m2
house,637953,4,222m2
appartment,717400,5,133m2
house,232005,5,218m2
appartment,854090,4,224m2
appartment,22243,2,187m2
appartment,872064,3,209m2
appartment,471820,5,247m2
appartment,914484,3,216m2
appartment,289542,4,154m2
house,409724,3,166m2
appartment,189087,3,210m2
appartment,351958,5,161m2
house,852440,3,144m2
appartment,651125,3,227m2
appartment,201260,2,194m2
house,433180,5,249m2
appartment,935843,4,168m2
appartment,873122,5,153m2
house,937374,2,249m2
house,847906,4,216m2
appartment,187149,2,151m2
appartment,521714,5,211m2
appartment,301328,2,158m2
house,693511,5,204m2
house,715336,5,230m2
appartment,809764,3,165m2
appartment,535941,5,206m2
appartment,790906,3,210m2
appartment,673346,2,223m2
house,836833,3,158m2
appartment,706847,5,137m2
appartment,927830,3,222m2
appartment,611227,3,242m2
house,696073,2,192m2
appartment,965939,5,185m2
house,856833,5,147m2
appartment,488047,3,139m2
appartment,802836,4,179m2
house,321192,4,173m2
appartment,336932,3,179m2
house,280214,3,236m2
house,593713,5,162m2
appartment,9732,2,218m2
house,411091,5,208m2
appartment,10910,4,205m2
appartment,385766,3,173m2
house,708993,4,223m2
house,853022,2,181m2
appartment,295037,3,232m2
appartment,91433,4,167m2
appartment,306444,2,154m2
house,684292,3,248m2
appartment,954585,5,227m2
appartment,983124,4,174m2
appartment,276410,5,152m2
house,791872,3,175m2
appartment,259525,4,166m2
appartment,922210,2,210m2
appartment,181953,4,218m2
appartment,343090,4,163m2
appartment,627990,2,241m2
house,72917,3,230m2
appartment,605085,3,132m2
appartment,94442,3,182m2
appartment,720688,2,178m2
house,148892,4,153m2
appartment,730981,5,135m2
appartment,749737,5,178m2
appartment,471425,2,203m2
house,162850,2,222m2
appartment,840580,2,134m2
appartment,966740,4,196m2
appartment,846285,2,171m2
appartment,31697,4,148m2
appartment,153990,4,162m2
house,982119,4,200m2
appartment,846440,4,173m2
appartment,471982,2,192m2
appartment,821463,3,231m2
appartment,848220,3,209m2
appartment,35010,3,165m2
appartment,917420,5,139m2
appartment,929738,5,210m2
appartment,596192,3,207m2
appartment,70010,5,233m2
appartment,745985,4,191m2
appartment,419587,4,150m2
appartment,343731,2,199m2
appartment,239490,2,219m2
house,495894,4,155m2
appartment,445045,3,155m2
appartment,930283,5,225m2
appartment,557272,4,237m2
house,823399,5,161m2
house,911094,3,228m2
house,644656,5,205m2
appartment,128174,5,198m2
house,852667,5,245m2
house,61940,5,222m2
house,823925,2,236m2
appartment,72845,3,235m2
appartment,2207,4,204m2
appartment,750863,3,209m2
house,920909,2,187m2
appartment,111212,2,209m2
appartment,627010,4,155m2
appartment,604552,2,181m2
appartment,744080,5,187m2
appartment,527833,2,218m2
appartment,366099,2,223m2
house,543294,5,160m2
house,514911,4,178m2
appartment,714563,4,247m2
house,875694,5,130m2
house,404449,3,173m2
appartment,679902,5,139m2
appartment,598905,3,154m2
appartment,878409,5,189m2
appartment,330353,3,245m2
house,224215,2,149m2
appartment,65345,4,155m2
house,213700,4,174m2
appartment,362314,3,156m2
appartment,46116,3,182m2
house,406200,4,175m2
appartment,626011,4,159m2
appartment,922318,2,162m2
appartment,932748,3,171m2
appartment,826659,4,176m2
house,959621,5,155m2
house,34260,2,206m2
house,502621,3,182m2
house,338224,4,227m2
appartment,138150,5,242m2
house,499718,4,242m2
appartment,270858,4,185m2
appartment,702168,5,145m2
appartment,961818,4,239m2
appartment,184834,2,249m2
appartment,339047,3,246m2
appartment,280211,3,147m2
appartment,885019,5,150m2
appartment,321761,2,231m2
house,585803,5,169m2
appartment,803951,4,135m2
house,757158,4,181m2
appartment,469793,2,133m2
appartment,403154,4,182m2
appartment,518616,3,224m2
appartment,611204,2,212m2
house,353244,2,197m2
house,545964,5,190m2
house,690356,3,227m2
appartment,234277,3,176m2
appartment,808927,5,173m2
appartment,194481,4,249m2
appartment,344966,3,145m2
appartment,408145,4,150m2
house,799022,3,164m2
house,337469,5,142m2
house,484429,2,242m2
appartment,219811,5,147m2
house,405559,3,208m2
appartment,488035,5,237m2
house,82586,2,186m2
appartment,763326,3,226m2
appartment,984213,4,155m2
appartment,976881,5,235m2
appartment,801569,2,149m2
appartment,15084,3,149m2
appartment,534254,5,135m2
appartment,331260,3,229m2
appartment,778143,3,148m2
appartment,683920,2,209m2
appartment,654277,3,216m2
appartment,635291,4,204m2
appartment,740566,4,248m2
appartment,74322,2,249m2
house,539043,3,136m2
appartment,295037,4,204m2
house,538542,2,141m2
house,548497,2,244m2
house,884889,4,182m2
house,881343,3,238m2
house,590113,4,139m2
appartment,69810,4,206m2
appartment,74211,2,156m2
house,821441,5,140m2
house,266993,2,183m2
appartment,161242,5,171m2
appartment,942560,5,189m2
house,336441,2,142m2
house,137381,4,161m2
house,622111,5,159m2
house,463156,2,182m2
appartment,605149,2,235m2
house,672059,2,191m2
house,662761,4,172m2
house,988862,5,211m2
appartment,502996,4,181m2
appartment,757929,4,158m2
house,580576,4,181m2
house,922173,5,249m2
appartment,149990,2,210m2
appartment,37664,3,194m2
appartment,790370,2,175m2
appartment,612359,3,248m2
appartment,707836,4,212m2
appartment,794927,2,215m2
appartment,846724,3,142m2
appartment,320378,2,198m2
appartment,212523,4,213m2
appartment,857502,5,197m2
appartment,140179,4,206m2
house,734028,4,198m2
house,471588,2,239m2
appartment,628002,5,196m2
appartment,233199,4,207m2
house,208322,5,202m2
appartment,243390,5,160m2
appartment,916672,5,226m2
appartment,411798,4,191m2
appartment,507996,2,140m2
appartment,154757,2,156m2
appartment,826555,2,179m2
house,792010,3,167m2
appartment,822256,5,225m2
house,208680,5,185m2
appartment,289056,5,146m2
house,261811,3,226m2
house,960813,5,160m2
appartment,641701,3,131m2
appartment,593062,3,210m2
house,3478,5,179m2
house,750855,4,139m2
appartment,2297,4,217m2
appartment,453181,2,146m2
house,203370,2,168m2
appartment,65489,5,149m2
house,91232,5,143m2
house,34762,2,201m2
house,461486,2,191m2
appartment,589408,5,237m2
appartment,231324,3,224m2
house,246568,4,165m2
appartment,613256,2,144m2
appartment,685454,5,246m2
house,162065,2,198m2
appartment,79133,2,166m2
appartment,433123,3,217m2
appartment,457793,4,209m2
house,259078,5,210m2
house,738449,4,141m2
appartment,180221,2,246m2
house,640582,3,174m2
house,83534,5,184m2
house,429547,4,202m2
house,454162,2,154m2
appartment,696325,3,165m2
house,617509,4,172m2
house,765763,3,250m2
appartment,322294,2,139m2
appartment,248175,2,206m2
appartment,826014,4,201m2
appartment,245023,2,230m2
appartment,258418,5,146m2
appartment,706836,4,223m2
house,744669,2,183m2
appartment,406897,2,200m2
appartment,313943,2,197m2
appartment,59947,3,200m2
appartment,257163,5,148m2
appartment,48018,4,171m2
house,288804,3,142m2
appartment,257258,5,150m2
house,283918,3,206m2
appartment,668860,2,132m2
appartment,101872,4,143m2
house,983729,5,238m2
house,554782,4,168m2
appartment,927467,5,240m2
appartment,632407,5,203m2
house,186471,5,221m2
appartment,613012,3,135m2
appartment,651671,4,215m2
appartment,372905,2,164m2
appartment,748027,5,205m2
appartment,767681,3,174m2
appartment,273681,3,240m2
appartment,766347,2,172m2
house,554495,3,211m2
house,420969,2,138m2
appartment,952331,4,152m2
house,458188,4,195m2
appartment,122407,4,133m2
appartment,470048,2,195m2
house,653104,3,208m2
appartment,502200,5,188m2
appartment,499257,5,211m2
appartment,534316,5,160m2
appartment,164201,3,136m2
house,9883,5,140m2
appartment,152859,5,175m2
appartment,492534,5,157m2
appartment,738085,5,209m2
appartment,500753,5,224m2
house,243581,4,241m2
appartment,273520,2,191m2
house,612584,5,174m2
appartment,891008,5,190m2
appartment,970074,5,241m2
house,776834,2,222m2
house,534463,4,221m2
appartment,267027,5,249m2
appartment,316681,3,135m2
appartment,494949,4,219m2
appartment,969508,2,183m2
appartment,489724,2,168m2
appartment,147495,3,205m2
appartment,247710,5,165m2
appartment,503742,5,210m2
appartment,119486,4,167m2
appartment,343689,2,244m2
house,724446,5,179m2
appartment,533154,4,224m2
house,461072,3,145m2
house,432774,4,164m2
appartment,746690,2,203m2
appartment,919245,2,214m2
house,166809,5,235m2
appartment,898424,3,213m2
appartment,800986,2,145m2
appartment,272363,5,220m2
appartment,592914,3,148m2
house,856946,2,181m2
appartment,999674,3,171m2
house,749540,5,177m2
house,34610,3,165m2
appartment,717209,4,176m2
appartment,694241,5,139m2
appartment,105469,2,143m2
house,192328,2,164m2
appartment,235046,5,243m2
appartment,676767,3,153m2
house,163222,2,237m2
appartment,912897,4,198m2
appartment,164654,4,182m2
appartment,508291,2,175m2
appartment,16045,5,209m2
house,783703,5,132m2
appartment,138174,4,152m2
house,630066,3,166m2
appartment,718607,2,157m2
house,806159,4,157m2
house,647954,4,157m2
appartment,212462,2,240m2
appartment,909818,3,138m2
appartment,724436,3,238m2
house,632091,5,143m2
appartment,634550,2,160m2
appartment,647388,4,189m2
house,609065,4,130m2
appartment,796355,2,143m2
house,36163,3,150m2
appartment,181220,4,167m2
appartment,101191,4,153m2
appartment,175139,2,139m2
appartment,554605,5,131m2
appartment,780639,2,216m2
house,799089,4,188m2
house,480905,3,249m2
appartment,634097,4,226m2
house,648642,5,223m2
appartment,650399,5,133m2
appartment,443465,2,149m2
house,923618,4,219m2
appartment,135652,5,205m2
appartment,89959,3,223m2
house,847729,3,138m2
house,212305,2,187m2
appartment,23077,4,149m2
appartment,857024,2,176m2
house,884972,4,196m2
appartment,600778,3,163m2
house,88424,4,181m2
appartment,669164,4,224m2
appartment,147560,5,235m2
appartment,704754,5,188m2
house,689053,3,147m2
appartment,409880,4,156m2
appartment,147260,4,245m2
appartment,300255,4,249m2
house,828093,4,216m2
appartment,676259,5,247m2
house,103284,2,141m2
house,250158,5,207m2
appartment,240156,4,136m2
house,659652,5,197m2
appartment,801104,4,201m2
appartment,832019,5,174m2
appartment,215132,4,139m2
house,173252,3,244m2
appartment,116719,4,184m2
appartment,439366,2,177m2
appartment,182083,4,188m2
house,49424,4,206m2
appartment,813766,2,180m2
appartment,64184,3,245m2
appartment,98441,2,247m2
appartment,689853,5,222m2
appartment,344851,4,175m2
appartment,25096,4,245m2
appartment,200355,2,207m2
appartment,334314,4,203m2
house,927282,4,140m2
appartment,492403,5,224m2
house,735974,3,186m2
appartment,958038,4,201m2
appartment,358489,2,174m2
appartment,341510,2,184m2
appartment,299232,5,200m2
appartment,947277,4,242m2
house,187859,5,237m2
appartment,232895,5,135m2
house,416550,5,159m2
appartment,299491,5,195m2
appartment,125850,5,170m2
house,228258,3,135m2
house,172453,4,205m2
appartment,414885,5,183m2
house,11970,3,214m2
appartment,824619,5,143m2
house,236403,5,168m2
appartment,805916,4,203m2
house,364204,2,194m2
house,387488,4,166m2
appartment,338327,4,218m2
house,587114,5,181m2
appartment,826079,3,187m2
appartment,128172,3,243m2
house,628987,2,194m2
appartment,164640,4,193m2
appartment,238424,3,213m2
house,601367,4,232m2
house,291345,4,219m2
appartment,53552,2,176m2
house,191822,5,219m2
house,386789,2,181m2
appartment,787486,4,186m2
house,887286,2,147m2
house,705592,4,158m2
house,492541,5,141m2
appartment,410163,5,201m2
appartment,439008,3,157m2
appartment,870071,3,140m2
appartment,259016,5,217m2
house,58271,5,213m2
appartment,616112,3,175m2
house,834980,3,206m2
appartment,796168,4,130m2
appartment,44438,2,245m2
house,645082,4,190m2
appartment,859669,3,187m2
house,215541,3,209m2
appartment,215667,2,234m2
appartment,799443,2,225m2
house,219068,3,195m2
house,947938,4,188m2
appartment,273765,5,240m2
appartment,949704,3,243m2
appartment,62799,4,179m2
appartment,46420,2,165m2
house,422896,3,242m2
house,805334,3,211m2
appartment,491472,3,211m2
appartment,550162,4,218m2
appartment,757795,3,136m2
house,152258,4,241m2
appartment,163108,2,170m2
appartment,441237,4,234m2
house,315909,2,141m2
appartment,81441,4,187m2
appartment,122385,4,160m2
appartment,283552,4,244m2
appartment,36357,2,140m2
appartment,365025,2,224m2
house,450120,5,223m2
house,365855,3,171m2
appartment,278713,2,204m2
house,906757,3,162m2
appartment,645748,5,150m2
appartment,625821,5,180m2
appartment,258137,3,205m2
appartment,200794,2,151m2
appartment,126015,3,153m2
house,520829,5,168m2
appartment,927574,4,131m2
appartment,159438,5,241m2
house,566144,4,238m2
appartment,368793,5,196m2
appartment,239717,5,235m2
house,58496,3,183m2
appartment,41674,3,240m2
appartment,171034,2,236m2
appartment,72755,2,159m2
house,540304,4,212m2
appartment,796581,2,181m2
house,466109,2,195m2
house,756837,2,140m2
appartment,401184,3,241m2
house,755926,2,164m2
appartment,971332,2,188m2
appartment,623368,3,142m2
appartment,20825,5,202m2
appartment,955947,5,146m2
house,475857,3,132m2
appartment,296457,3,181m2
house,719051,5,237m2
house,209261,4,200m2
appartment,960321,5,136m2
appartment,551161,5,199m2
house,782890,5,157m2
appartment,606054,2,169m2
appartment,173,5,226m2
appartment,101534,4,187m2
house,993580,5,131m2
house,554584,5,136m2
appartment,35744,3,198m2
house,191452,4,232m2
house,542945,2,245m2
appartment,754686,2,189m2
appartment,903635,4,137m2
appartment,274769,3,237m2
appartment,981522,5,180m2
appartment,599595,4,144m2
appartment,530147,2,154m2
appartment,388300,3,241m2
appartment,586303,4,141m2
house,232075,2,162m2
house,420138,4,136m2
appartment,95984,2,218m2
appartment,581392,2,135m2
appartment,109608,5,163m2
appartment,446872,2,176m2
appartment,550122,2,159m2
house,295029,4,201m2
appartment,132580,4,157m2
appartment,12321,2,148m2
appartment,862159,5,242m2
house,505673,3,196m2
house,706015,4,132m2
appartment,300630,3,199m2
appartment,129712,5,185m2
house,800141,3,141m2
house,15920,3,224m2
appartment,833715,4,190m2
appartment,853779,4,229m2
appartment,143126,2,151m2
appartment,650489,5,239m2
appartment,667086,5,239m2
appartment,625095,2,208m2
appartment,313487,5,132m2
appartment,916414,5,131m2
appartment,48433,2,179m2
appartment,177776,4,197m2
house,569470,3,192m2
appartment,164115,5,157m2
appartment,593672,5,211m2
appartment,125349,4,224m2
appartment,720026,4,149m2
appartment,644054,3,199m2
house,432285,4,176m2
appartment,425925,2,181m2
appartment,233232,3,144m2
house,492446,5,151m2
appartment,948794,5,205m2
appartment,551546,3,204m2
appartment,951506,4,136m2
appartment,244454,2,146m2
house,245656,2,179m2
house,36386,4,250m2
appartment,463023,4,247m2
appartment,772477,2,186m2
house,256282,2,248m2
appartment,301829,4,179m2
appartment,162937,5,160m2
appartment,840763,2,163m2
house,345337,2,206m2
appartment,557200,4,181m2
appartment,351762,3,147m2
appartment,207282,3,231m2
house,472611,3,134m2
appartment,147250,2,217m2
appartment,219395,4,234m2
appartment,934317,3,174m2
appartment,985207,3,225m2
appartment,360623,3,213m2
appartment,690899,3,135m2
house,425839,2,144m2
house,315647,2,161m2
house,451840,5,139m2
appartment,55893,3,225m2
appartment,527181,2,226m2
house,211705,5,182m2
appartment,711441,3,181m2
house,155504,3,132m2
appartment,873860,5,235m2
house,143685,2,247m2
house,745455,2,198m2
house,662693,3,217m2
appartment,277754,3,230m2
house,564090,2,165m2
appartment,487039,2,146m2
house,715318,4,171m2
appartment,551808,2,234m2
house,836626,4,152m2
appartment,435282,5,217m2
appartment,829961,5,204m2
house,648727,3,160m2
appartment,469298,2,192m2
appartment,425847,2,179m2
house,147668,3,166m2
house,162933,3,231m2
appartment,833471,3,187m2
house,479231,3,246m2
appartment,58114,4,179m2
appartment,740756,2,231m2
appartment,224841,5,173m2
appartment,276002,4,145m2
appartment,44377,3,189m2
appartment,961450,5,146m2
appartment,385637,3,140m2
house,381864,2,146m2
appartment,994916,5,235m2
appartment,905945,3,165m2
appartment,784525,5,147m2
appartment,261499,2,195m2
house,810410,4,171m2
appartment,476284,3,189m2
appartment,323201,5,192m2
house,219359,4,145m2
appartment,872929,5,178m2
appartment,184680,3,233m2
appartment,547758,2,242m2
appartment,645604,5,174m2
house,314804,5,233m2
house,991087,4,173m2
house,272146,3,143m2
appartment,343578,4,164m2
house,620644,5,210m2
appartment,638634,4,211m2
appartment,142983,4,206m2
appartment,421333,5,153m2
house,837445,3,244m2
appartment,78596,4,214m2
appartment,670869,2,145m2
house,170142,4,211m2
house,476291,3,166m2
appartment,766461,3,173m2
house,368497,2,178m2
house,886038,3,222m2
appartment,385330,3,191m2
appartment,183427,5,130m2
house,558004,3,134m2
house,42855,2,166m2
appartment,269334,3,189m2
appartment,819898,3,206m2
appartment,572837,3,156m2
appartment,811693,5,213m2
appartment,386964,4,240m2
house,241148,5,194m2
appartment,410256,3,134m2
appartment,554587,5,168m2
house,896072,3,181m2
appartment,800701,2,156m2
appartment,138777,3,185m2
appartment,231906,5,136m2
appartment,253522,4,250m2
house,796467,4,168m2
appartment,427172,2,236m2
appartment,399632,4,150m2
appartment,600071,4,144m2
appartment,882067,5,135m2
appartment,646254,5,234m2
appartment,382096,3,194m2
appartment,265547,4,141m2
house,760837,4,160m2
house,838235,5,164m2
appartment,471934,2,227m2
appartment,786208,3,219m2
appartment,121481,5,198m2
appartment,897381,2,143m2
house,218466,2,160m2
appartment,130702,5,214m2
appartment,225899,3,235m2
appartment,432754,5,179m2
appartment,758818,2,234m2
appartment,216927,3,202m2
appartment,513070,3,248m2
appartment,502977,4,191m2
appartment,566819,5,228m2
house,327649,3,140m2
appartment,778687,5,167m2
appartment,482396,4,244m2
appartment,502864,5,202m2
house,302221,3,145m2
appartment,728520,5,153m2
house,825374,2,246m2
appartment,163345,5,131m2
appartment,767249,3,150m2
appartment,169098,2,246m2
appartment,555376,4,216m2
house,155206,4,137m2
appartment,539824,3,155m2
house,856416,3,204m2
house,937376,3,147m2
appartment,1790,2,153m2
appartment,599411,5,219m2
appartment,292804,5,232m2
appartment,712475,2,222m2
house,348499,2,170m2
appartment,152951,2,144m2
appartment,701265,4,185m2
appartment,799924,3,142m2
appartment,907391,2,242m2
appartment,935030,2,207m2
appartment,93747,3,177m2
appartment,320808,5,230m2
house,627887,4,173m2
appartment,94122,2,165m2
appartment,272175,2,225m2
appartment,466754,4,169m2
appartment,497098,3,160m2
appartment,1098,4,195m2
house,793440,2,180m2
appartment,560767,5,162m2
appartment,862298,3,202m2
appartment,414479,5,152m2
appartment,400366,4,242m2
appartment,388875,5,143m2
appartment,177198,5,130m2
house,349038,5,134m2
appartment,440157,4,220m2
appartment,492392,5,136m2
appartment,42939,5,175m2
appartment,950251,5,182m2
house,53878,5,197m2
house,454619,3,244m2
house,26032,5,222m2
house,129054,3,133m2
appartment,291091,5,198m2
house,338978,2,191m2
house,606158,3,186m2
appartment,657035,2,226m2
appartment,234532,4,215m2
house,967411,3,215m2
house,157638,5,168m2
appartment,527970,3,177m2
appartment,493993,4,148m2
appartment,659891,2,235m2
appartment,494480,4,150m2
house,897340,4,156m2
appartment,809808,3,244m2
appartment,390119,4,245m2
house,134928,3,189m2
appartment,408633,2,223m2
appartment,661601,3,142m2
appartment,745962,2,158m2
house,529341,4,220m2
house,773507,4,173m2
appartment,751629,5,246m2
house,173343,4,241m2
appartment,73774,3,164m2
appartment,460153,2,138m2
appartment,75381,3,198m2
appartment,589660,2,239m2
appartment,697595,2,191m2
appartment,707825,5,229m2
house,490644,5,232m2
house,39453,5,218m2
house,175158,4,160m2
appartment,446051,2,247m2
house,44971,5,163m2
appartment,2036,2,230m2
appartment,855761,4,216m2
appartment,392819,3,153m2
house,633842,3,204m2
appartment,971216,5,222m2
house,665291,4,223m2
appartment,881503,4,233m2
appartment,35690,4,234m2
appartment,711986,3,191m2
house,44984,3,225m2
appartment,221047,5,234m2
house,134840,2,191m2
appartment,646580,4,148m2
appartment,779385,4,181m2
appartment,907483,2,136m2
house,253125,3,196m2
appartment,230408,3,201m2
appartment,164099,4,212m2
appartment,547165,2,152m2
appartment,789444,3,170m2
appartment,844828,5,209m2
house,296404,2,189m2
appartment,100860,3,135m2
appartment,284133,5,151m2
appartment,778866,2,158m2
house,793580,2,147m2
house,630122,3,138m2
appartment,252594,2,233m2
appartment,393249,2,187m2
appartment,264104,5,235m2
house,416120,3,170m2
appartment,734934,5,182m2
appartment,87515,4,223m2
appartment,942754,3,173m2
appartment,410909,3,243m2
house,541943,5,156m2
house,318351,4,228m2
appartment,44746,3,139m2
house,142184,2,151m2
appartment,879300,2,183m2
appartment,475158,3,234m2
house,893152,4,199m2
house,979017,4,156m2
appartment,639419,4,230m2
house,33673,4,229m2
house,813079,4,223m2
house,17470,4,224m2
appartment,141308,5,246m2
appartment,384238,4,188m2
house,360375,5,179m2
appartment,271318,5,216m2
appartment,640984,2,180m2
appartment,867112,5,151m2
appartment,461295,2,246m2
house,313514,3,212m2
appartment,701178,3,242m2
house,703321,2,181m2
appartment,575425,5,182m2
house,227399,5,228m2
appartment,594024,3,243m2
house,234049,5,134m2
house,986106,5,239m2
appartment,529477,5,173m2
house,271614,5,159m2
appartment,123340,2,150m2
appartment,940218,2,163m2
appartment,722772,4,146m2
appartment,784785,2,157m2
house,725226,5,228m2
house,247477,3,244m2
appartment,204779,4,139m2
appartment,789846,2,165m2
appartment,150137,3,146m2
appartment,246616,3,216m2
appartment,951452,2,208m2
house,68125,4,158m2
appartment,843844,3,190m2
appartment,673489,4,243m2
house,970288,4,175m2
appartment,46385,2,196m2
appartment,984142,2,164m2
appartment,638074,3,159m2
appartment,356823,5,152m2
appartment,541590,4,190m2
appartment,493761,4,229m2
house,935240,4,200m2
house,630493,5,219m2
appartment,336059,4,140m2
appartment,730448,4,243m2
appartment,680897,4,206m2
appartment,365593,4,146m2
house,321942,3,216m2
appartment,718719,5,239m2
house,14382,5,222m2
appartment,429449,5,167m2
house,348259,3,158m2
house,349130,5,235m2
appartment,831194,4,192m2
appartment,178434,2,175m2
appartment,466590,3,232m2
appartment,247289,3,228m2
house,745373,2,246m2
appartment,644723,3,236m2
appartment,294510,2,174m2
appartment,175175,2,166m2
appartment,480392,3,218m2
appartment,381965,5,210m2
appartment,95119,3,247m2
appartment,893089,5,203m2
house,388399,3,157m2
appartment,705608,3,234m2
appartment,996003,4,141m2
house,963350,3,247m2
appartment,56097,5,246m2
appartment,313551,2,212m2
appartment,918014,4,187m2
house,776141,3,151m2
appartment,692093,4,166m2
appartment,631174,4,199m2
house,587727,5,131m2
house,553065,2,236m2
appartment,891878,3,245m2
appartment,823777,4,210m2
appartment,662349,3,182m2
house,317764,4,198m2
appartment,778249,3,225m2
appartment,392769,5,170m2
house,175207,3,204m2
house,347751,2,176m2
house,959591,4,178m2
appartment,780256,2,181m2
appartment,445159,3,230m2
house,960404,5,152m2
house,679951,4,207m2
appartment,440329,4,245m2
appartment,881581,3,140m2
house,989551,5,178m2
appartment,234688,4,142m2
appartment,602857,3,210m2
appartment,775069,4,208m2
appartment,769864,2,142m2
appartment,938813,5,174m2
appartment,270551,3,165m2
appartment,62863,3,235m2
appartment,344955,3,243m2
house,91326,2,191m2
appartment,344340,4,178m2
appartment,375541,2,247m2
appartment,440192,4,164m2
house,416662,5,132m2
house,140150,5,215m2
appartment,102280,2,246m2
appartment,514426,5,188m2
house,903912,2,151m2
house,261634,4,197m2
appartment,211965,5,245m2
appartment,711340,4,165m2
appartment,742349,3,189m2
appartment,182405,5,229m2
house,319758,4,216m2
appartment,19531,3,230m2
appartment,561021,4,163m2
appartment,504231,4,187m2
appartment,271718,4,183m2
appartment,953369,4,134m2
appartment,322627,4,140m2
house,367862,3,226m2
appartment,25476,4,186m2
appartment,792535,2,174m2
house,495030,3,175m2
appartment,771604,3,154m2
house,103989,3,176m2
appartment,359126,5,199m2
appartment,911425,4,130m2
appartment,55960,4,152m2
appartment,338573,2,174m2
appartment,969295,2,210m2
appartment,347061,2,140m2
house,804648,3,157m2
house,35076,2,215m2
house,955203,4,132m2
house,465624,5,228m2
appartment,94377,5,243m2
appartment,676229,3,156m2
appartment,395092,4,217m2
house,641431,2,188m2
house,150581,4,175m2
appartment,305860,2,218m2
appartment,977177,4,239m2
appartment,685040,3,181m2
house,168208,2,135m2
appartment,803680,5,176m2
house,9309,4,132m2
house,288819,5,199m2
house,584877,3,224m2
house,400040,4,147m2
house,930374,2,143m2
appartment,706436,2,237m2
appartment,958448,2,149m2
appartment,100881,2,153m2
appartment,144485,2,137m2
appartment,855641,3,209m2
appartment,555111,5,157m2
appartment,702719,2,233m2
house,759977,3,150m2
appartment,237983,2,203m2
house,978102,3,215m2
appartment,977530,2,170m2
house,49344,2,175m2
house,419050,3,159m2
house,250216,4,228m2
appartment,640099,3,189m2
appartment,66638,2,157m2
house,749439,5,189m2
appartment,877884,5,195m2
house,419703,4,174m2
appartment,237774,3,237m2
appartment,899957,4,176m2
appartment,443562,3,213m2
appartment,645125,3,238m2
appartment,863835,5,226m2
appartment,604597,4,233m2
house,977221,4,234m2
appartment,80178,5,132m2
appartment,236869,4,167m2
appartment,988375,2,137m2
house,558345,5,141m2
house,343499,2,240m2
appartment,50151,4,249m2
